Provider,OfferId,MinGlobal,MinRecommended,MaxRecommended,DifferenceMinRecommendMinTheory,EnqueuedTimeSP
"""ApplyDynamicPriceRange""","""a6611d55-9624-4381-8cdd-323ee3689241""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""b8c636fa-8241-47dc-ac40-bdf438a04d9c""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""3d32f7fb-396d-4d3f-b673-dea1f7dc41b7""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""329194f3-95a4-45ef-b3d0-2796f74ce2a0""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""fdcfde5c-113d-4a59-9ae0-8bc31e2943d8""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""27bbc4fa-2388-4780-b66c-92a51397d191""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""baffc30b-7642-45fe-a2ce-da31a71732ae""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""b5982abd-f602-47ac-b45a-bb43bf993d46""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""f6643886-4a0f-45ae-ae32-ee95c72ee94a""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""16a2d492-b1c3-40ec-970f-b8704d8db96f""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""e94cf567-d77a-4874-9663-0b49d19f604c""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""57a52d66-93fb-40a4-b44a-662d439ce070""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""0474ba06-1a1e-4ebe-934f-b416dd0c9313""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""a48a4485-1add-468e-9f20-5b3659498b82""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""d7739a03-c1f8-46db-971f-1a9af3dd88d9""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""4e44bf19-62ff-4d6e-8ce6-f4de80bb027d""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""3da3a438-3fd3-432a-a778-e0a2d815f831""",87.35,89.25,99.95,1.9,05/09/21
"""ApplyDynamicPriceRange""","""bc8a4008-eef4-4059-8264-a078f618f3bd""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""36d3b55c-a449-4ab3-9b49-849d158038da""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""5ebc735e-7445-4d17-aeca-b56d8d04a51a""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""31cc86f1-881b-4b89-838e-bffdcfded61e""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""7e7f25c6-6352-40d0-bd1e-1dd4e8a5c222""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""c0b7cf25-62d1-4f3d-be18-3825c316ed8d""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""de8394da-020c-422a-890a-0d77a5f8359a""",85.0,87.2,97.65,2.2,05/09/21
"""ApplyDynamicPriceRange""","""92269c83-9103-4ea3-b93b-ae2f1762f720""",85.0,87.2,97.65,2.2,05/09/21
